cleaned_comment,Quality,Price,Delivery,Service
"chất_lượng sản_phẩm bền đẹp bắt_mắt đúng với mô_tả sạc được nhanh , thời_gian sử_dụng đảm_bảo 6_8 giờ nha chất_lượng sản_phẩm bền đẹp bắt_mắt đúng với mô_tả đúng với mô_tả",2,2,2,-1
tạm được,-1,-1,-1,-1
"mua vì mang đi du_lịch nên thấy cũng tạm ổn , có 5 mức nhưng mình thấy xài cỡ mức 4 5 là đủ mát . mà cổ của quạt không hiểu sao hay bị xệ xuống",0,-1,-1,-1
"mình thấy tiki bán sách ổn , may_mắn là khâu giao hàng hàng không bị hư_hại gì , nội_dung của cuốn này thù khỏi phải bàn rồi nên mua",2,-1,1,-1
chất_liệu mỏng_dính thiếu 1 đôi bảo hoàn nhưng không hoàn lại ? ?,0,-1,-1,-1
quạt đẹp cầm vừa tay thơm có nhiều mức quạt nhưng mà pin không trâu như mn nói,2,-1,-1,-1
"màu_sắc giống hình chất_liệu ổn đúng với mô_tả đúng tất cổ cao nữ hình chữ 4 màu , vớ cao cổ nữ chất vải mềm . .",2,0,-1,-1
"đúng với mô_tả tot chất_lượng sản_phẩm tot rất tốt . đáng dong tien lắm luon ạ máy chạy mạnh nhiều tốc_độ và chắc_tay , có thề đeo , đe_bàn cầm tay deu duoc . rất tiện luôn í . nên mua",2,-1,-1,-1
"mùi hương không mùi đối_tượng sử_dụng em bé chất_lượng sản_phẩm ổn khăn sữa hai lớp chất vải có vẻ thấm nước sẽ mềm hơn , phù_hợp lau cho bé sơ_sinh nhưng chất khác cứng chắc mua loại 4 lớp sẽ tốt hơn nhé , mình mua thử loại 2 lớp , hoặc mua khăn xô khăn sợi tre chắc mềm hơn",2,-1,-1,-1
máy chạy êm xay thịt nhanh không gắn được sợi dây cao_su vào nắp điên ghê luôn nhưng bù lại máy rẻ . tiếng khi xay êm,2,0,2,-1
chưa nhận được hàng . mắc công đợi,1,0,-1,-1
