platform,product_id,rating,comment,Quality,Price,Delivery,Service
tiki,99958075,3,"Sản phẩm bình thường, đáy quần hơi ngắn. So với giá thì cao mà chất lượng thì ko bằng của chính hãng 5S actuve. Tiki nên ktra shop bán quần 5S active, treo hàng 5S mà bán hàng nhái.",-1,-1,-1,-1
tiki,99958075,3,Đặt size L giao hàng XL. Chưa hài lòng về việc này.,-1,-1,-1,-1
tiki,99958075,3,Tôi chưa nhan ₫c tiền của sản phẩm thu hồi,-1,-1,-1,-1
tiki,99958075,2,Shop giao khác size đặt hàng,-1,-1,-1,-1
tiki,99958075,1,Chất lượng quá kém so vs cái giá. Quần mới mà chỉ thừa tùm lum. Mặc 2-3 tuần bắt đầu có dấu hiệu bung chỉ. Thất vọng vì đã mua 1 lần 3 cái.,-1,-1,-1,-1
tiki,99958075,1,"Vải rất mỏng, túi khóa lỏng lẻo, rất nông, nếu ko kéo khóa sẽ rơi đồ.",-1,-1,-1,-1
tiki,99958075,3,Hjhh hhjk yhfdf hjjj hjjj,-1,-1,-1,-1
tiki,99958075,1,Tệeeeeeee. Cực kì bực bội. Quần dùng mấy tuần đã sờn. Vải kém quá thể.,-1,-1,-1,-1
tiki,99958075,3,Quần xấu giặt 1 lần nhăn nhúm và phai,-1,-1,-1,-1
tiki,99958075,3,Hàng tạm được tuy nhiên may túi Ẩu quá. Túi có lỗ thủng mày chứ không là rớt mất đồ rồi!,-1,-1,-1,-1
tiki,99958075,1,quá dỏm....................,-1,-1,-1,-1
tiki,99958075,1,"quần mỏng tè, may thì kém. ngoài chợ bán 50k. thất vọng",-1,-1,-1,-1
tiki,99958075,1,quần thủng mấy chỗ đằng sau. cắt mác ra mới biết.,-1,-1,-1,-1
tiki,99958075,1,tưởng size lớn ai ngờ nhỏ xíu,-1,-1,-1,-1
tiki,99958075,1,Đã nhận được hàng nhưng lâu quá và hàng chất lượng kém,-1,-1,-1,-1
tiki,99958075,3,bình thườngggggggggggggggggg,-1,-1,-1,-1
tiki,99958075,2,mặc hơi chật dù mình mua size xxl,-1,-1,-1,-1
tiki,99958075,2,*** mõng có 1 lớp mà bán giá trên trời,-1,-1,-1,-1
tiki,99958075,1,"sản phẩm không tốt, nhiều chỉ thừa",-1,-1,-1,-1
tiki,99958075,1,chất lượng kém quá  ko đáng tiền mua,-1,-1,-1,-1
tiki,99958075,3,hài lòng. vải mỏng nhẹ size nhỏ,-1,-1,-1,-1
tiki,99958075,3,"Chất lượng trung bình, vải mau nhàu",-1,-1,-1,-1
tiki,42899542,2,"Theo quảng cáo của shop thì size XL có kích thước cho người cao 1.73-1.78m, nặng 71-78kg.  Tôi cao 1.67m, nặng 72kg. Nhưng khi mặc áo này thì rất chật, phải cố kéo mới tròng vào người được, bị bó sát, rất khó chịu.  Như trao đổi với  Tiki, thì Tiki sẽ hoàn tiền lại, sau đó tôi sẽ đặt loại XXL để có thể mặc vừa.",-1,-1,-1,-1
tiki,42899542,1,"Không hài lòng, vì lỡ chọn SIZE M về thử hơi bé, nhưng muốn đổi lại SIZE L thì TIKI không hỗ trợ!   Thành ra SP mua mà không xài được, chán luôn!",-1,-1,-1,-1
tiki,42899542,1,"màu sắc không như mong đợi , hình ảnh chỉ mang tính chất minh họa",-1,-1,-1,-1
tiki,42899542,3,"Áo chất liệu Cotton đúng như mô tả, dày dặn và form đang đẹp, mặc ôm sát nhưng không bí, giá cả mua ngay đợt khuyến mãi nên rất OK",-1,-1,-1,-1
tiki,42899542,1,đặt mùa xám mà đi giao màu đen ?,-1,-1,-1,-1
tiki,42899542,1,hàng đặt từ ngày 20 mà hơn tuần chưa thấy giao tới nơi ! Mình rất khó chịu,-1,-1,-1,-1
tiki,42899542,3,áo size không chính xác ghi là XL nhưng 1m75 nặng 75kg mặc rất chật,-1,-1,-1,-1
tiki,42899542,3,Không có size lớn đưa size M . Khi mua không có chọn size,-1,-1,-1,-1
tiki,42899542,1,Mua 2 cái ship 1 cái mong shop xem lại,-1,-1,-1,-1
tiki,42899542,3,Vải hơi dày. Nên hơi nóng. Tạm tạm thôi,-1,-1,-1,-1
tiki,42899542,1,"vải k co giản, và lỗi áo khi mặc",-1,-1,-1,-1
tiki,42899542,2,hàng của tiki có 2 loại mua 2 chiếc giao mỗi thứ 1 loại,-1,-1,-1,-1
tiki,42899542,3,Chất áo đẹp thích hợp với người thích mặc body vì khá bó,-1,-1,-1,-1
tiki,42899542,2,với giá tiền đó thì hàng xem như tạm được.,-1,-1,-1,-1
tiki,275515112,1,"Mình dùng mới dc tầm 5 lần mà nấu lúc có áp lúc ko,tức là kiểu lúc nấu xong ấn nút van xả thì trong nồi ko có tí áp suất nào để xả ra cả, vặn nắp là mở ra được luôn, ko biết chế độ đổi trả hay bảo hành như thế nào. Nhưng cảm giác mua nồi mới dùng dc mấy lần đã chập cheng thế này thì quá tệ.",-1,-1,-1,-1
tiki,275515112,2,Mình hài lòng về dịch vụ của Tiki. Nhưng mình không hài lòng về sản phẩm của Elmich. Mình mới dùng nồi có 3 tháng mà núm cao su van xả đã rơi ra. Mình chưa dùng sản phẩm điện gia dụng nào mà vòng đời lại ngắn ngủi vậy. Phải mua lại van giá 50k + 30k phí vận chuyển.,-1,-1,-1,-1
